"","series","baker_name","baker","baker_age","baker_occupation","hometown","episode","result","technical","signature_bake","show_stopper"
"1",1,"Annetha Mills","Annetha",30,"Midwife","Essex",1,"IN",2,"Light Jamaican Black Cakewith Strawberries and Cream","Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
"2",1,"Annetha Mills","Annetha",30,"Midwife","Essex",2,"OUT",7,"Rose Petal Shortbread","Pink Swirl Macarons / Eclairs"
"3",1,"David Chambers","David",31,"Entrepreneur","Milton Keynes",1,"IN",3,"Chocolate Orange Cake","Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
"4",1,"David Chambers","David",31,"Entrepreneur","Milton Keynes",2,"IN",8,"Cheddar Cheese and Fresh Rosemary Biscuits","Choux Pastry Swans  Chocolate Profiteroles"
"5",1,"David Chambers","David",31,"Entrepreneur","Milton Keynes",3,"IN",4,"Chilli Bread","Walnut and Seed Roll
Red Berry and Almond Bun"
"6",1,"David Chambers","David",31,"Entrepreneur","Milton Keynes",4,"OUT",5,"Pear and Walnut Pudding","Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
"7",1,"Edd Kimber","Edd",24,"Debt collector for Yorkshire Bank","Bradford",1,"IN",1,"Caramel Cinnamon and Banana Cake",NA
"8",1,"Edd Kimber","Edd",24,"Debt collector for Yorkshire Bank","Bradford",2,"IN",6,"Oatmeal Raisin Cookie","Pink Macarons"
"9",1,"Edd Kimber","Edd",24,"Debt collector for Yorkshire Bank","Bradford",3,"IN",1,"Olive Bread","Tomato and Mozzarella"
"10",1,"Edd Kimber","Edd",24,"Debt collector for Yorkshire Bank","Bradford",4,"IN",3,"Apple and Plum Pudding","Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer"
"11",1,"Edd Kimber","Edd",24,"Debt collector for Yorkshire Bank","Bradford",5,"IN",2,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés"
"12",1,"Edd Kimber","Edd",24,"Debt collector for Yorkshire Bank","Bradford",6,"WINNER",NA,"Cinnamon and Banana Cake",""
